,original_sentences,adversarial_sentences
0,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry to the 2 a wkly comp for the FA Cup final tkts 21st May 2017. Text FA to 87121 to receive entry (no txt rate)T&C's T&Cs
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",XxX Hey there darling it's been 3 week's now and no word back! I'd like some help! Are you up for a chat still? Tb ok! XxXI'm going to pay £1.50 for rcv
2,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"WINNER!! As soon as you claim your prize, you have been selected to receive a £900 cash reward! To claim, call 09061701461. Claim code KL341. Valid 12 hours only."
3,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more? Use the RSM to Update to the latest version of your mobiles for Free! Call for Mobile Update for FREE on 08002986030
4,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win. From 100 to 20,000 pounds. Order CSH11 and send to your home. Cost 150p/day, 6days, 16+ to apply. HLN info"
5,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE trial in our £100,000 T&C Jackpot! Txt.com is now accepting entries. CLAIM to No: 81010 T &C JACKPOT POBOX 4403LDNW1A7RW18"
6,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",">> To find out more, click the link in the next message or click here>> http://wap.org"
7,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",England v Scotland - dont miss the kick-off! Txt your national team to 87077. Txt ENGLAND to 8 7077. SCOTLAND POBOXox36504W45WQ 16+
8,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,If you pay for your first month in the UK your account will be charged £5/month Please reply by replying YES or NO If you reply NO you will not be charged
9,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - 08000930705 - 0700930705 We tried to call you but your reply to our sms for a free nokia mobile phone was not free. Please call now 08000915705 for delivery tomorrow
10,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,CLOSE The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Subscribe to SPTV
11,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","Congrats! 1 year special pass for you is free! Call 09061209465 now! Suprman V, Matrix3, StarWars3, etc all are FREE! Dont miss out!"
12,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","As a valued employee, I am pleased to advise you that following recent changes to the bonus system, you are awarded with a £1500 Bonus. For more information call 09066364589"
13,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","To receive a complimentary trip to Trav, text OrSglSuplt To txt DIS to 87121 (or ShrAcomOrSglsuplt)10, LS1 3AJ"
14,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",Did you hear about the new album? It comes out all the time
15,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,You can also contact a customer service representative on 0800 169 6031 between 10am-9pm as you have a guaranteed £1000 cash or £5000 credit card.
16,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Your e-mail address is waiting to be sent. Simply text the password ""MIX"" to 85069 to send it to Usher's Office, PO Box 5249, MK17 92H. 450Ppw 16"
17,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,Update: We are trying to contact you. Last weekends draw was so successful that you will receive a £1000 reward. Call 09064012160. Code K52. Valid 12hrs only. 150ppm
18,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),If you are a winner and have been specially selected 2 receive £1000 or a 4* holiday (flights inc) up to a maximum of 2 years. 0871277810910p/min
19,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,PRIVATE! The 2004 registration number for 07742676969 shows 786 unredeemed addresses. To claim call 08719180248 Identifier Code: 07742686969
20,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",URGENT! Call from Landline No. 150PPM awarded £2000. Caller was last heard on 5/9/03 This is the final try to contact U! Call to Landline 09064019788. Caller No 150PAM
21,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Todays Voda customers who claim code 7548 are selected to receive a $350 refund. If you have a credit card, please call 08712300220 with claim code 4041.Download the app"
22,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,Quick Quiz: Win a top Sony Xperia XZ Premium player if u know which country Algarve is in? Txt ansr to win £1.50.
23,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Want 2 get laid? Want to join the UK's largest Dogging Network? Get sent direct 2-week free trial! Join theUK's largest dogging Network bt Txting GRAVEL to 69888! Nt.J.
24,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,You'll not rcv any more msgs in the future if you don't get this text GO to: 69988 If u get nothing u must Age 4 with yr network & try again
25,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","Hi Randy, Why haven't you replied to my text? I'm Randy, sexy, female and I love you. Luv to hear from u. Ltd 08700621170150p per msg reply.Reply at end"
26,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,Please note: You have New Year's Eve waiting for you. Please call 07046744435 now to arrange delivery
27,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,Here are a few of the winners who have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) to a local pub. 1 2 3 4 0871277810810
28,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,PLEASE STOP bootydelious.com is inviting you to be her guest. NO-424 or NO-434 See her: STOP? STOP FRND to 62468
29,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu","Wap. bangb. tv is on the way. U will receive a notification if Msg 2 download UR. If U do not, GoTo wap.bangb.tv on UR's internet/service menu"
30,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,* We are trying to contact you. Last chance to draw a draw. Please confirm that you have won a £900 prize. Call 09061701939. Enter code S89. Valid 12hrs only
31,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,You can also contact a customer service representative on 0808 145 4742 between 9am-11pm as you have a guaranteed £1000 cash or £5000 credit card.
32,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,advertisementWhere to Find out June 30th
33,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",500 Mobiles – YOU MUST GO! Txt: NOKIA to No: 89545 & get yours today!From ONLY £1.99!
34,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will ur meet ur new partner soon? Is ur career getting 2 a good start? 2 find out free, txt HORO, by ur own sign, e. g. ARIES"
35,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,"If you want to go & meet someone in person, U can find a date or even meet someone online, its up to U. It's just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg 857 pence"
36,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,U-I have a secret admirer who is helping 2 make contact with U-find out who they are and what they are doing so contact me on 09058094597
37,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1. Get 500 of CD vouchers or more guaranteed & Free entry 2. Get wkly txt MUSIC to 87066 TnCs.
38,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,We tried to contact you re your reply to our offer of a free trial on our networks. UNLIMITED. Please Reply or call 08000930705 NOW
39,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,Hey I am really sorry if you want to chat or see me you can text me at 69698 text me back at 150pm to let me know you text me 69698
40,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,Urgh! The game has changed! Free! Go to www.facebook.com to choose your game now! Txt txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
41,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,Tune In Get the best content on your mobile each week and choose any top quality content. This content is free of charge.
42,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,HMV BONUS You can order 500 pounds of HMV to be delivered today. Just answer 4 easy questions. Now! Send HMV at 86688 More info
43,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,"T-Mobile customers, you may now claim your FREE T-Mobile PHONE upgrade & a pay & go credit card. For more information, Call on 0845 021 3680.Offer ends today. Terms apply"
44,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE","SMS. ac Blind Date is a writer from Aberdeen, United Kingdom. Check Him out at sms. ac. Blind Dates send HIDE"
45,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468","Join us on Facebook. Check out our newest selection of content, Games, Tones, Gossip, babes and more to make your life more fun and funky. Subscribe to 82468"
46,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week","Think you know what you want? Win £200 this week in our weekly Giveaway by text to 85222 (TEL), PO BOX 84, M26 3UZ.Win GBP1.50/week"
47,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,December only! Want to update your mobile 11mths+? You are entitled to update to the latest version of your mobile for Free! You can also update your Mobile App for FREE on 08002986906
48,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,Payment is only 1 cent per call. Call from a fixed line via access number 0844 861 8560. No prepayment. Direct deposit.
49,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,Valentines Day 2018: Win over £1000 in our Gift Card and take your loved ones on the trip of a lifetime! GO to 83600-7000 or call CustCare:08718720201.
50,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,Fancy a shag? I use txts SUZY to send messages. Txts cost 1.50 per msg. I use X
51,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1. Get 500 of CD vouchers or more guaranteed & Free entry 2. Get wkly txt MUSIC to 87066 TnCs.
52,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,Ur cash-balance is currently 500k - to ur credit card you can now send CASH to ur account only. CC: 08708800282
53,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=","Update_Now - Xmas Offer! Get Motorola, Samsung, Nokia & FREE Double Mins & 1000 Txt on Xmas! Call me on 08000839402 or click here"
54,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,"Here is the code: To stop further delays, contact Customer Services 08717205546"
55,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",Thanks for your support. You will be charged GBP 4 per month. You can contact us at anytime by calling customer services on 09057039994
56,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX","Android phones and txts 4 6months FREE on Android Available on Sony, Nokia Motorola and Samsung Call us on 08000839402 or click here"
57,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,Free half price Orange line rental & latest camera phones. Had a camera phone 11mths? Call us for free on 08000938767 to register now!
